"pris","vej","vejnr","postnr","by","kvmpris","størrelse","mdudg","grund","værelser","liggetid","opført"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695.000 kr.","jeppe-aakjaers-vej","20","8620","kjellerup","18.265","153","2.661","778","4",NA,"2010"
"1.295.000 kr.","ringridervej","40","6400","soenderborg","13.605","218","3.030","530","7",NA,"1945"
"4.250.000 kr.","hejls-kirkevej","5","6094","hejls","2.831","156","1.707","664","5",NA,"1895"
"5.695.000 kr.","vilhelmsro","410","3480","fredensborg","31.939","143","4.238","904","6",NA,"1979"
"1.495.000 kr.","noerregaardsvej","1","9800","hjoerring","7.492","148","1.418","1.114","6",NA,"1924"
"995.000 kr.","tvedvej","152","5700","svendborg","11.874","97","2.039","790","3",NA,"1952"
"5.745.000 kr.","horsemosevej","11","8420","knebel","5.432","123","1.412","1.758","5",NA,"1965"
"3.395.000 kr.","nyportstraede","5","4600","koege","39.338","74","2.571","58","2",NA,"1677"
"4.795.000 kr.","borgergade","9","8883","gjern","12.469","189","2.764","1.318","5",NA,"1912"
"995.000 kr.","gjessoevej","23","8600","silkeborg","27.526","155","3.351","825","5","1 dag","1929"
"3.150.000 kr.","bordingvej","37","7441","bording","6.697","108","1.252","1.269","4","1 dag","1897"
"1.445.000 kr.","vaseholmen","51","2760","maaloev","36.605","176","5.464","836","5","1 dag","2003"
"2.125.000 kr.","uraniavej","3","1878","frederiksberg","139.930","212","6.291","441","6","1 dag","1870"
"5.695.000 kr.","nordgaardsvej","71","4030","tune","24.952","128","2.773","441","5","1 dag","1975"
"1.295.000 kr.","johannevej","26","2970","hoersholm","50.390","197","5.440","956","7","1 dag","1961"
"2.598.000 kr.","kristrupvej","44","8960","randers","20.718","332","2.711","1.167","9","1 dag","1896"
"5.495.000 kr.","moelle-alle","1","9520","skoerping","12.104","138","2.000","750","5","1 dag","1964"
"2.398.000 kr.","idomvej","6","7500","holstebro","12.442","141","2.428","946","5","1 dag","1954"
"2.995.000 kr.","anemonevej","17","7200","grindsted","7.653","140","1.982","853","5","1 dag","1962"
"2.275.000 kr.","nordskovvej","12","3700","roenne","14.737","118","2.545","1.203","5","1 dag","1963"
"7.198.000 kr.","marienborgvej","25","8930","randers","9.352","76","2.090","786","3","1 dag","1956"
"1.995.000 kr.","boettemosevej","11","4690","haslev","17.335","89","2.156","659","3","1 dag","1937"
"1.675.000 kr.","stjerneparken","15","6300","graasten","10.050","138","1.920","893","4","1 dag","1974"
"1.675.000 kr.","syrenvej","1","8963","auning","4.465","181","1.528","815","6","1 dag","1937"
"1.545.000 kr.","sevanen","17","5580","noerre","10.893","177","2.215","919","5","1 dag","1992"
"1.795.000 kr.","tannisbugtvej","108","9881","bindslev","11.988","131","2.293","627","6","1 dag","1974"
"2.295.000 kr.","vejlevej","79","7000","fredericia",NA,NA,NA,NA,NA,NA,NA
"3.998.000 kr.",NA,NA,NA,NA,"5.483","134","1.252","3.318","4","1 dag","1919"
"3.350.000 kr.","svanemoellevej","64","2900","hellerup","117.773","413","20.039","826","11","1 dag","1908"
"4.995.000 kr.","roejle-bygade","124","5500","middelfart","8.120","406","2.849","10.979","16","1 dag","1862"
"2.495.000 kr.","brorsonsvej","5","9320","hjallerup","7.201","230","2.759","1.204","5","1 dag","1973"
"1.595.000 kr.","neksoevej","9","7430","ikast","12.960","124","2.282","848","4","1 dag","1969"
"629.000 kr.","noerrevang","8","4800","nykoebing","12.056","102","1.695","473","3","1 dag","1937"
"2.895.000 kr.","bakkehegnet","9","8210","aarhus","33.653","111","3.614","1.157","5","1 dag","1934"
"2.495.000 kr.","flagspaettevej","3","9270","klarup","13.470","160","2.190","702","5","1 dag","1967"
"3.150.000 kr.","ndr-strandvej","36","2791","dragoer","42.869","178","5.775","800","7","1 dag","1957"
"5.595.000 kr.",NA,NA,NA,NA,"8.523","197","2.621","800","6","1 dag","1977"
"8.250.000 kr.","tranumparken","40","9220","aalborg","17.485","112","2.062","960","4","1 dag","1975"
"3.345.000 kr.","dortheasvej","11","6700","esbjerg","15.890","136","2.875","946","4","1 dag","1957"
"3.995.000 kr.","vandmosevej","4","7250","hejnsvig","6.366","144","1.416","1.256","5","1 dag","1969"
"875.000 kr.","nordmarksvej","33","5270","odense","15.120","164","2.353","654","6","1 dag","1971"
"25.995.000 kr.","gammel-koege-landevej","716","2660","broendby","30.603","107","3.435","815","4","1 dag","1923"
"1.595.000 kr.","kong-georgs-vej","24","5000","odense","28.077","152","2.878","584","6","1 dag","1926"
"1.495.000 kr.","groennegade","4","9900","frederikshavn","8.181","136","1.711","354","3","1 dag","1907"
"1.595.000 kr.","bygvej","13","4220","korsoer","13.237","111","2.368","807","4","1 dag","1968"
"295.000 kr.","skovlundevej","4","4500","nykoebing","6.494","312","2.483","2.636","9","1 dag","1900"
"1.495.000 kr.","rohde","1","8464","galten","22.279","183","3.485","10.465","4","1 dag","1950"
"2.995.000 kr.","langelandsgade","132","8000","aarhus","39.037","195","5.477","573","8","1 dag","1906"
"2.685.000 kr.","stenkaergaard","39","8763","rask","21.272","172","1.214","1.235","4","1 dag","2022"
"995.000 kr.","bygvaenget","251","2980","kokkedal","28.859","126","3.806","701","5","1 dag","1979"
"2.998.000 kr.","harrestrupvej","158","2740","skovlunde","23.332","85","3.833","759","3","1 dag","1873"
"1.195.000 kr.","kolt-kirkevej","62","8361","hasselager","18.432","160","3.364","762","6","1 dag","1976"
"720.000 kr.","espensvej","4","4750","lundby","5.995","106","1.904","1.549","4","1 dag","1959"
"550.000 kr.","ane-vifferts-vej","15","9370","hals","10.971","95","1.976","1.000","4","1 dag","1963"
"1.375.000 kr.","pileurtvej","10","8830","tjele","14.952","183","2.798","951","4","1 dag","2010"
"1.695.000 kr.","stationsvej","2","9800","hjoerring","3.124","224","1.408","1.110","9","1 dag","1964"
"950.000 kr.","funder-kirkevej","57","8600","silkeborg","15.711","119","2.318","733","4","1 dag","1927"
"6.995.000 kr.","bjergegaardsvej","11","8382","hinnerup","34.080","190","4.239","912","6","1 dag","2022"
"395.000 kr.","groensundvej","600","4793","bogoe","11.390","183","2.145","3.716","6","1 dag","1937"
"3.395.000 kr.","jupitervej","25","9200","aalborg","17.155","187","2.897","707","6","1 dag","1963"
"1.535.000 kr.","thurasvej","3","6000","kolding","16.675","194","2.910","850","8","1 dag","1938"
"995.000 kr.","borgervaenget","24","8600","silkeborg","23.784","93","2.283","574","4","1 dag","1968"
"2.695.000 kr.","walther-christmas-vej","10","7000","fredericia","18.810","139","2.346","708","4","1 dag","1968"
"3.198.000 kr.","faegangsvej","7","8585","glesborg","2.320","145","1.318","1.457","4","1 dag","1935"
"995.000 kr.","ellevej","84","3300","frederiksvaerk","17.255","122","2.729","884","3","1 dag","1950"
"3.498.000 kr.","taastrupvej","12","8370","hadsten","7.718","170","2.307","800","5","1 dag","1975"
"545.000 kr.","bodumvej","168","6200","aabenraa","7.755","120","1.499","1.803","4","1 dag","1828"
"4.995.000 kr.","krabbesgade","29","8620","kjellerup","13.247","191","1.803","905","6","1 dag","1909"
"1.198.000 kr.","vangevej","56","8700","horsens","15.199","143","2.268","956","4","1 dag","1969"
"3.195.000 kr.","tousvej","106","8230","aabyhoej","41.595","120","3.219","883","5","1 dag","1938"
"1.495.000 kr.","porsborgvej","79","9530","stoevring","16.029","118","2.185","728","4","1 dag","1974"
"2.495.000 kr.","udgaardsvej","45","8600","silkeborg","31.766","178","3.951","1.363","5","1 dag","1981"
"565.000 kr.","droevten","42","9310","vodskov","12.198","125","2.285","700","3","1 dag","1955"
"695.000 kr.","hejrevej","1","4900","nakskov","4.366","237","1.819","1.082","8","1 dag","1969"
"6.595.000 kr.","roennealle","23","6920","videbaek","5.688","148","1.288","780","4","1 dag","1973"
"2.395.000 kr.","smalbyvej","50","9700","broenderslev","9.947","145","2.116","733","6","1 dag","1948"
"4.495.000 kr.","stensigvej","8","7570","vemb","4.035","110","1.309","2.720","4","1 dag","1964"
"5.500.000 kr.","borggaardsparken","51","7080","boerkop","12.310","159","2.343","886","6","1 dag","1979"
"995.000 kr.","jernbanevej","4","4872","idestrup","3.384","192","1.551","665","6","1 dag","1928"
"1.695.000 kr.","dalgasvej","5","7000","fredericia","12.486","147","2.156","510","4","1 dag","1930"
"2.495.000 kr.","roellum-bygade","41","6200","aabenraa","12.600","257","4.664","52.157","6","1 dag","1739"
"645.000 kr.","havremarken","25","7730","hanstholm","5.522","168","2.112","805","5","1 dag","1980"
"4.650.000 kr.","gefionsvej","44","7620","lemvig","21.042","170","2.836","1.154","4","1 dag","2022"
"1.845.000 kr.","soerupvej","40","5700","svendborg","11.903","113","1.100","398","4","1 dag","1959"
"1.495.000 kr.","strandvangsvej","24","2650","hvidovre","33.057","215","6.038","994","7","1 dag","1939"
"2.795.000 kr.","klintebakken","7","2690","karlslunde","39.052","176","4.461","824","4","1 dag","1977"
"1.895.000 kr.","frederiks-alle","11","8840","roedkaersbro","3.915","71","1.272","1.050","3","1 dag","1955"
"1.795.000 kr.","hasselager-stationsvej","6","8361","hasselager","25.061","211","2.947","916","11","1 dag","1916"
"1.095.000 kr.","faaborgvej","18","8940","randers","13.525","108","2.523","1.003","4","1 dag","1963"
"1.895.000 kr.","skovkrogen","12","6840","oksboel","12.892","138","3.188","1.380","5","1 dag","1965"
"6.495.000 kr.","hornshoejvej","37","9320","hjallerup","3.456","121","1.468","6.157","3","1 dag","1960"
"445.000 kr.","praestegaardsvej","8","8382","hinnerup","30.918","190","3.355","896","5","1 dag","2020"
"2.775.000 kr.","granly-alle","57","6710","esbjerg","17.115","235","2.219","780","5","1 dag","1963"
"475.000 kr.","asmindrupvej","5","4572","noerre","7.709","228","2.172","2.528","8","1 dag","1968"
"695.000 kr.","bjergsnaes-mose","9","8800","viborg","23.243","186","3.418","872","6","1 dag","2017"
"3.550.000 kr.","vessoe-lund","33","8680","ry","28.443","165","3.552","509","5","1 dag","2021"
"3.875.000 kr.","sdr-strandvej","34","3730","nexoe","7.767","125","1.789","229","5","1 dag","1911"
"3.995.000 kr.","jaettevej","9","6200","aabenraa","17.606","148","1.169","1.032","5","1 dag","1964"
"2.295.000 kr.","halkjaervej","12","7620","lemvig","6.941","240","2.866","13.001","5","1 dag","2003"
"3.750.000 kr.","skovgade","21","6320","egernsund","7.906","96","1.430","1.088","3","1 dag","1877"
"3.750.000 kr.","hoejbjergvej","11","4250","fuglebjerg","18.668","159","2.397","1.813","5","1 dag","2003"
"3.998.000 kr.",NA,NA,NA,NA,"12.633","124","2.797","748","4","1 dag","1968"
"2.895.000 kr.","kratvaenget","21","6630","roedding","9.927","246","2.915","1.203","7","1 dag","1998"
